variante,k,tipo,modelo,sessoes,nascidas_media,prop_fechadas_estab,prop_fundidas,convergem_emenda1
janela3,3,controle-tres-atos,claude-cli/claude-haiku-4-5-20251001,2,1.0,0.0,0.0,0.0
janela3,3,controle-tres-atos,claude-cli/claude-opus-5,2,1.0,0.0,0.0,0.0
janela3,3,controle-tres-atos,claude-cli/claude-sonnet-4-6,2,1.0,0.0,0.0,0.0
janela3,3,controle-tres-atos,claude-cli/claude-sonnet-5,2,1.0,0.0,0.0,0.0
janela3,5,cidade-viva,claude-cli/claude-haiku-4-5-20251001,4,4.75,0.1625,0.5833333333333334,0.25
janela3,5,cidade-viva,claude-cli/claude-opus-5,4,2.0,0.0,0.41666666666666663,0.0
janela3,5,cidade-viva,claude-cli/claude-sonnet-4-6,4,4.75,0.0,0.7750000000000001,0.0
janela3,5,cidade-viva,claude-cli/claude-sonnet-5,4,4.25,0.15000000000000002,0.5750000000000001,0.75
janela3,5,controle-tres-atos,claude-cli/claude-haiku-4-5-20251001,2,1.0,0.0,0.0,0.0
janela3,5,controle-tres-atos,claude-cli/claude-opus-5,2,1.0,0.0,0.0,0.0
janela3,5,controle-tres-atos,claude-cli/claude-sonnet-4-6,2,1.0,0.0,0.0,0.0
janela3,5,controle-tres-atos,claude-cli/claude-sonnet-5,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,2,cidade-viva,claude-cli/claude-haiku-4-5-20251001,4,5.0,0.5892857142857143,0.3125,0.0
sem-pontes-de-fusao,2,cidade-viva,claude-cli/claude-opus-5,4,2.75,0.0,0.625,0.0
sem-pontes-de-fusao,2,cidade-viva,claude-cli/claude-sonnet-4-6,4,5.0,0.32916666666666666,0.4666666666666667,0.0
sem-pontes-de-fusao,2,cidade-viva,claude-cli/claude-sonnet-5,4,4.25,0.44999999999999996,0.5,0.0
sem-pontes-de-fusao,2,controle-tres-atos,claude-cli/claude-haiku-4-5-20251001,2,1.0,0.5,0.0,0.5
sem-pontes-de-fusao,2,controle-tres-atos,claude-cli/claude-opus-5,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,2,controle-tres-atos,claude-cli/claude-sonnet-4-6,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,2,controle-tres-atos,claude-cli/claude-sonnet-5,2,1.0,1.0,0.0,0.0
sem-pontes-de-fusao,3,cidade-viva,claude-cli/claude-haiku-4-5-20251001,4,5.0,0.5892857142857143,0.3125,0.0
sem-pontes-de-fusao,3,cidade-viva,claude-cli/claude-opus-5,4,2.75,0.0,0.625,0.0
sem-pontes-de-fusao,3,cidade-viva,claude-cli/claude-sonnet-4-6,4,5.0,0.2875,0.5083333333333333,0.0
sem-pontes-de-fusao,3,cidade-viva,claude-cli/claude-sonnet-5,4,4.25,0.44999999999999996,0.5,0.25
sem-pontes-de-fusao,3,controle-tres-atos,claude-cli/claude-haiku-4-5-20251001,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,3,controle-tres-atos,claude-cli/claude-opus-5,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,3,controle-tres-atos,claude-cli/claude-sonnet-4-6,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,3,controle-tres-atos,claude-cli/claude-sonnet-5,2,1.0,1.0,0.0,0.0
sem-pontes-de-fusao,5,cidade-viva,claude-cli/claude-haiku-4-5-20251001,4,5.0,0.5892857142857143,0.3125,0.25
sem-pontes-de-fusao,5,cidade-viva,claude-cli/claude-opus-5,4,2.75,0.0,0.625,0.0
sem-pontes-de-fusao,5,cidade-viva,claude-cli/claude-sonnet-4-6,4,5.0,0.2875,0.5083333333333333,0.5
sem-pontes-de-fusao,5,cidade-viva,claude-cli/claude-sonnet-5,4,4.25,0.32499999999999996,0.5,0.5
sem-pontes-de-fusao,5,controle-tres-atos,claude-cli/claude-haiku-4-5-20251001,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,5,controle-tres-atos,claude-cli/claude-opus-5,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,5,controle-tres-atos,claude-cli/claude-sonnet-4-6,2,1.0,0.0,0.0,0.0
sem-pontes-de-fusao,5,controle-tres-atos,claude-cli/claude-sonnet-5,2,1.0,1.0,0.0,0.5
